NEW REPORT
0 @10
0 @11
@34 -> { id:   5 pr:   1 c:  1 et:  34 p:  25 rt:  19 }

@35 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  19 }

@49 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   9 }

@50 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   8 }

@62 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   7 }

@63 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   6 }

@77 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   5 }

@78 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   4 }

@79 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   3 }

@80 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   2 }

@81 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   1 }

@82 -> { id:   2 pr:   3 c:  10 et:  48 p:  15 rt:   0 }

@83 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   9 }

@84 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   8 }

@85 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   7 }

@86 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   6 }

@87 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   5 }

@88 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   4 }

@89 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   3 }

@90 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   2 }

@91 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   1 }

@92 -> { id:   3 pr:   1 c:  10 et:  61 p:  15 rt:   0 }

@93 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:  14 }

@94 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:  13 }

@95 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:  12 }

@96 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:  11 }

@97 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:  10 }

@98 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   9 }

@99 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   8 }

@100 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   7 }

@101 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   6 }

@102 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   5 }

@103 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   4 }

@104 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   3 }

@105 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   2 }

@106 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   1 }

@107 -> { id:   4 pr:   2 c:  15 et:  76 p:  20 rt:   0 }

@108 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  18 }

@109 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  17 }

@110 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  16 }

@111 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  15 }

@112 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  14 }

@113 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  13 }

@114 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  12 }

@115 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  11 }

@116 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:  10 }

@117 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   9 }

@118 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   8 }

@119 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   7 }

@120 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   6 }

@121 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   5 }

@122 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   4 }

@123 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   3 }

@124 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   2 }

@125 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   1 }

@126 -> { id:   1 pr:   1 c:  20 et:  34 p:  25 rt:   0 }

@34 -> { id:   6 pr:   2 c:  2 et:  34 p:  25 rt:  19 }

@34 -> { id:   6 pr:   2 c:  2 et:  34 p:  25 rt:  19 }


@34 -> { id:   7 pr:   4 c:  4 et:  34 p:  25 rt:  19 }

@34 -> { id:   7 pr:   4 c:  4 et:  34 p:  25 rt:  19 }

@34 -> { id:   7 pr:   4 c:  4 et:  34 p:  25 rt:  19 }

@34 -> { id:   7 pr:   4 c:  4 et:  34 p:  25 rt:  19 }
0 @127
0 @128
0 @129
